Проект,Мониторинг,"Срок жизни, в мес.",Cреднеарифметический % месячной доходности,Max просадка,Мах незафиксированная просадка,Общая доходность,"Среднемесячная доходность, %","Среднегодовая доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23,06.23,07.23,08.23,09.23,10.23,11.23,12.23,01.24,02.24,03.24,04.24,05.24,06.24,07.24,08.24,09.24,10.24,11.24,12.24,01.25,02.25,03.25,04.25,05.25,06.25,07.25,08.25,09.25,10.25,11.25,12.25,01.26,02.26
Turing by Triple AI,https://tradelink.pro/portfolio/65313664-86d8-4433-bb50-58890fa1d5a0?t=1763042400,47,"0,33","-41,04",,"0,23","0,00","2,08","24,97","-18,08","-0,13",,,,,,,,,,,,"0,12","4,99","0,00","0,81","0,32","0,57","-3,91","5,50","-1,47","-7,99","8,13","10,80","-11,84","1,03","3,04","-7,75","7,17","-6,73","2,08","4,24","14,99","24,97","-10,69","3,35","-6,68","12,60","-3,48","-18,08","12,51","4,02","-3,39","15,45","1,98","-4,96","-1,97","-8,07","3,09","-15,51","-4,25","2,22","0,45","2,34","-7,72","6,32","-4,07","-2,59","-6,34"
SYGNAL Cadence,https://app.zignaly.com/profit-sharing/658c1c3bc34bf558da0f0cb6,27,"0,80","-33,60",,"2,14","0,08","2,24","34,47","-20,30","-0,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,84","-7,22","13,30","6,15","-6,55","-10,97","3,65","-6,85","8,67","2,57","-12,42","34,47","10,90","-20,30","18,08","-15,20","20,52","-2,28","-5,42","16,29","-13,30","-2,45","-11,14","1,68","-1,74","7,36","-5,27"
Jay Smith (ex. Jay Edward Smith),https://www.etoro.com/people/jaynemesis/stats,58,"0,46","-22,25",,"15,94","0,27","3,84","16,97","-12,85","-0,07","-0,34","7,88","-1,27","1,13","-6,33","12,47","-2,87","-4,52","-11,69","-0,20","2,60","-12,85","-1,35","-10,69","16,97","-3,48","-11,82","5,23","8,05","-7,71","7,76","-2,91","2,50","-3,55","0,41","4,60","1,13","-6,92","-5,70","-7,63","13,75","9,16","0,28","8,02","2,01","-5,11","5,89","2,89","-3,66","1,97","3,14","-0,76","5,11","-5,96","5,10","-2,52","-7,48","4,20","8,52","6,22","6,22","-0,29","4,79","3,93","-5,05","-2,08","-0,61","0,01"
Copy-Trade Utopia,https://copy-trade.pro/utopia-monitoring,34,"0,87",,,"14,42","0,42","5,16","29,60","-18,12","0,01",,,,,,,,,,,,,,,,,,,,,,,,,"-0,10","8,60","29,60","3,64","-13,03","0,88","-7,32","-4,12","-1,75","8,56","0,40","-3,55","-13,19","-14,07","12,25","9,35","0,25","0,00","0,00","6,97","-6,02","-9,89","-2,69","-2,86","-11,49","-1,66","0,78","12,11","-18,12","8,31","8,95","1,94","19,88","6,83"
Systematic Trend Following Long Only (Spot),https://app.zignaly.com/profit-sharing/653539cf4bd33811c22dfd3c,29,"1,68","-65,50",,"0,25","0,01","5,91","45,39","-25,92","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,49","12,00","37,65","-23,57","44,22","24,66","-21,79","-1,02","-12,12","-7,86","-25,92","0,21","-17,49","45,39","16,25","-4,27","-3,74","0,76","1,29","-11,60","-9,21","37,38","-5,91","-7,97","-10,14","0,20","-12,82","-6,36","0,00"
Selim Boukezouh,https://www.etoro.com/people/selim_/stats,58,"0,73","-47,19",,"8,14","0,14","6,04","51,09","-22,25","0,03","8,03","-0,15","-0,21","0,09","-1,11","2,23","-1,88","2,20","-3,99","-1,84","2,33","-3,45","-0,54","-5,21","8,11","-5,16","-5,90","3,19","-4,61","-5,49","15,50","-0,90","4,35","-0,95","-2,31","1,33","0,75","-5,34","-0,70","6,04","16,25","17,65","-6,53","25,52","19,45","-22,25","11,51","-10,94","-2,40","-8,53","7,74","-3,63","51,09","-12,21","3,83","-20,77","-11,43","5,17","5,28","-2,13","18,81","4,93","0,19","-10,77","-18,58","-5,13","-7,98","-6,12"
Blue Tower Int GreySwan Mtm,https://app.zignaly.com/profit-sharing/653274754bd33822087a5fe5,29,"0,63","-69,30",,"-22,04","-0,76","8,28","53,06","-25,98","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,00","6,43","12,44","-1,25","38,46","11,38","-17,52","9,86","-11,63","7,78","-9,62","7,67","11,16","53,06","-18,67","-1,00","-25,59","-7,21","15,29","-0,18","-5,11","24,73","-8,08","-10,08","-21,28","-25,98","-8,50","-5,32","-16,88"
Edvi trade Wolf,https://tradelink.pro/portfolio/31537db6-7285-4778-a999-a0e97dab8c3f?t=1758182400,38,"0,69","-39,25",,"14,80","0,39","8,10","12,19","-35,93","0,09",,,,,,,,,,,,,,,,,,,,,"9,24","-0,54","1,85","3,10","-0,60","2,06","8,34","1,04","0,40","-0,46","5,89","3,71","8,15","0,00","-3,29","0,62","5,30","-1,65","-2,90","5,99","5,14","0,12","4,06","-2,45","3,65","-35,93","6,16","-6,88","3,84","0,18","0,98","1,26","-2,08","0,44","0,84","-11,21","12,19","-0,16"
Antonio Emanuele Fasciani,https://www.etoro.com/people/emfasciani/stats,58,"0,95","-39,24",,"40,18","0,69","6,71","28,86","-20,97","0,11","-1,56","6,85","-2,10","-0,03","-5,72","4,55","-4,83","6,63","-0,80","0,56","0,52","-7,14","-0,68","-11,59","9,23","-4,97","-9,99","9,14","7,62","-5,79","11,93","-2,42","-0,45","-2,60","9,91","6,75","3,54","-6,69","-0,53","0,00","0,29","0,28","-5,26","20,96","7,36","-9,15","11,65","-4,71","-1,29","-11,76","3,62","0,11","28,86","-7,90","2,66","-20,97","-8,48","2,60","18,18","0,65","24,47","-1,67","4,38","-0,88","-8,08","-0,25","2,19","-2,19"
PHOENIX by hamster-bot Binance,https://tradelink.pro/portfolio/12bc2093-eb68-4e24-8e52-dbc96d296dc4?t=1752559200,39,"0,93","-26,23",,"36,26","0,93","7,88","14,73","-14,39","0,14",,,,,,,,,,,,,,,,,,,,"-0,47","14,73","0,96","2,50","-4,07","-4,31","5,55","-4,05","2,37","-4,28","2,93","-6,80","2,04","4,63","1,68","0,81","7,54","-4,03","4,83","-2,11","10,23","3,20","0,73","3,99","5,34","0,11","0,23","-1,35","1,70","0,19","-4,54","6,16","-7,21","-1,18","-14,39","8,53","-1,00","3,02","2,12"
Tomas Vasseur,https://www.etoro.com/people/tomasvasseura/stats,58,"1,61","-57,32",,"23,95","0,41","15,03","66,67","-31,72","0,16","2,73","-0,09","-0,16","0,13","-1,22","2,40","-1,70","2,48","-4,19","-1,97","2,45","-3,53","-0,44","-5,31","8,27","-5,43","-6,60","3,39","-4,78","-9,07","24,64","-2,44","6,61","-1,09","-3,26","3,02","1,58","-14,25","-0,88","15,14","30,00","35,79","-9,00","37,71","29,85","-30,89","18,97","-13,65","0,71","-16,87","9,92","-1,83","66,67","-18,02","6,39","-31,72","-15,45","7,37","9,23","-4,34","25,59","9,89","0,25","-14,91","-25,56","-5,78","-6,55","-6,94"
LearnTradeE Crypto Trading Index (ex. Professional Fund Trading),https://app.zignaly.com/profit-sharing/65528b460c8937a7470ad408,28,"3,21","-46,00",,"45,25","1,62","22,28","116,14","-21,31","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-11,08","25,73","-10,96","23,45","5,88","-5,66","0,00","-3,81","-4,21","1,03","7,69","-9,25","116,14","0,98","-11,18","-5,65","-1,00","-21,31","4,70","-5,19","12,41","-4,65","0,92","-4,25","2,12","-12,41","3,12","-3,74"
Butter. trade Binance Spot (ex. 786 trading Binance Spot),https://app.zignaly.com/profit-sharing/639c44e68aedc66d9b4abff3,38,"3,16","-76,80",,"2,45","0,06","30,59","85,61","-45,03","0,26",,,,,,,,,,,,,,,,,,,,,"-3,04","29,12","-16,78","9,93","-13,22","-10,76","4,18","-17,86","1,09","48,05","25,26","85,61","-10,42","20,07","40,80","-32,58","19,78","-20,31","14,54","-23,59","18,41","13,76","53,61","-18,21","30,82","-45,03","-23,10","12,78","4,61","-1,09","8,67","9,26","-10,20","-17,59","-21,86","-24,71","-2,78","-17,14"
Copy-Trade White Waters,https://copy-trade.pro/white-waters-monitoring,41,"1,95",,,"69,13","1,69","15,17","81,56","-16,07","0,27",,,,,,,,,,,,,,,,,,"2,65","-3,59","-16,07","81,56","-10,40","-3,63","12,67","-0,94","-1,61","-8,74","5,16","-2,39","1,35","4,31","4,61","-4,92","6,93","2,39","-0,60","-3,84","-1,91","1,29","3,23","-1,57","0,00","-0,36","-0,84","-0,23","12,73","-5,62","1,93","-4,89","1,82","1,82","2,03","0,00","0,00","4,73","1,77","0,18","-1,03"
PHOENIX by hamster-bot BYBIT,"https://tradelink.pro/portfolio/e5230205-15a1-4aab-a792-718770881aa6?t=1773907200
https://tradelink.pro/portfolio/83abd388-3841-4d1d-b45f-94f1444b4b98?t=1773907200",28,"1,28","-11,79",,"39,32","1,40","9,01","10,35","-5,20","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,68","5,79","1,54","5,67","2,34","-5,20","-4,60","6,74","-3,39","6,66","2,92","-0,05","10,35","0,28","-1,35","-2,10","-2,61","2,53","0,82","-4,53","8,14","-0,45","-3,18","3,60","9,03","-2,26","2,09","-1,21"
Jeppe Kirk Bonde,https://www.etoro.com/people/jeppekirkbonde/stats,58,"1,20","-16,58",,"89,61","1,54","12,75","9,73","-8,24","0,40","2,50","1,85","-0,94","0,54","-3,99","5,98","-2,70","1,72","-4,94","-2,06","2,07","-8,08","-1,34","-7,67","6,05","-3,18","-8,24","3,23","9,73","-4,41","9,11","-3,21","4,29","-0,85","-0,68","5,07","3,53","-3,87","-3,38","-2,28","8,19","6,61","-1,13","4,71","3,59","-1,57","6,63","0,67","0,51","1,85","2,65","-0,98","3,70","-1,08","4,52","-2,27","-3,75","1,66","8,23","8,24","0,91","2,18","7,51","4,14","-0,31","2,15","6,58","1,79"
