Проект,Мониторинг,"Срок жизни, в мес.",Cреднеарифметический % месячной доходности,Max просадка,Мах незафиксированная просадка,Общая доходность,"Среднемесячная доходность, %","Среднегодовая доходность, %",Лучший месяц,Худший месяц,Коэффициент Шарпа,05.21,06.21,07.21,08.21,09.21,10.21,11.21,12.21,01.22,02.22,03.22,04.22,05.22,06.22,07.22,08.22,09.22,10.22,11.22,12.22,01.23,02.23,03.23,04.23,05.23,06.23,07.23,08.23,09.23,10.23,11.23,12.23,01.24,02.24,03.24,04.24,05.24,06.24,07.24,08.24,09.24
Copy-Trade ENOT 5,https://www.mql5.com/ru/signals/1378207?source=Site+Signals+My,32,"3,80","-57,70",,"123,78","3,87","59,24","62,78","-21,36","0,42",,,,,,,,,,"-8,61","62,78","7,57","3,47","41,11","29,19","27,41","-14,26","-10,46","2,63","25,16","1,48","-1,84","-2,74","-7,70","-16,61","-21,36","2,53","-2,62","8,64","-0,35","11,55","-13,67","-12,23","0,30","-0,64","-4,83","3,21","10,84","-0,63","2,26","-0,11"
Quant Hill Crypto Trend USDT,https://tradelink.pro/portfolio/65e47ea48a4232bfcd1b7f8c?t=1712419200,41,"1,54","-25,14",,"63,83","1,56","14,54","28,45","-12,12","0,47","3,24","-2,64","1,40","-8,58","-0,41","4,46","-2,80","-3,99","5,14","0,29","0,02","-2,73","2,55","22,75","-4,89","0,65","-11,45","5,17","0,20","-8,65","28,45","0,46","1,38","1,47","-6,41","2,32","-7,66","11,72","-12,12","12,63","-7,27","5,60","-0,21","24,71","0,96","-1,46","3,54","-0,90","3,26","4,35","-1,22"
Aquiles Scalper,https://app.zignaly.com/profit-sharing/5fd8abc4d8839644fe118b04,41,"7,64","-36,10",,"465,32","11,35","80,44","102,04","-43,83","0,71","44,35","-43,83","45,93","-20,38","11,25","-24,76","-18,16","-3,64","79,26","42,96","3,06","-12,15","-4,48","-24,61","102,04","-19,71","14,43","2,55","9,55","-9,72","21,15","-14,39","0,29","8,38","-1,44","-3,72","-8,74","2,66","-3,93","45,56","3,50","-1,25","-3,54","46,36","55,08","13,23","-8,29","1,97","-6,66","-0,66","-6,15"
Alfa-Quant 300,https://www.comon.ru/strategies/17475/,41,"2,60","-37,76",,"124,89","3,05","24,66","60,30","-19,26","0,74","3,33","6,83","-0,15","0,29","-11,82","-1,12","10,89","2,84","5,15","-5,58","1,73","-19,26","0,71","15,14","26,61","-14,77","-0,80","-8,97","-2,86","60,30","0,19","4,85","4,56","11,46","0,11","10,31","10,33","8,23","-0,44","-2,86","-3,54","-0,05","-0,39","0,75","0,88","0,98","-3,17","-4,83","0,55","0,00","0,00"
Ed Khan Utopia Binance,https://tradelink.pro/portfolio/8e216b21-54de-42f0-a03c-5ea789163151,32,"4,53","-31,33",,"237,31","7,42","44,34","50,45","-12,84","0,78",,,,,,,,,,"50,45","14,50","1,37","25,65","8,98","-4,59","-2,61","5,48","-3,72","1,46","4,12","13,14","-1,68","9,42","3,58","-8,27","7,41","30,00","2,73","-12,84","0,46","-6,66","-3,55","-1,23","9,80","2,17","2,13","-6,70","-10,99","9,57","9,09","-3,67"
Ed Khan Knife Catcher D1,https://tradelink.pro/portfolio/eb31f6d9-8d74-4ab2-8c5b-5ee9b54de0dd,23,"2,81","-12,38",,"84,10","3,66","18,04","20,43","-7,51","0,83",,,,,,,,,,,,,,,,,,,"0,12","-1,39","2,82","1,41","0,47","-0,53","1,77","8,59","-0,03","3,38","2,20","0,97","7,02","9,12","6,03","5,12","20,43","-7,51","3,71","0,35","-0,56","-0,78","1,99"
Triple AI Bourbaki Ultra [BTC] (ex Прикольные инвестиции),https://tradelink.pro/portfolio/1f431ee6-2191-4f02-bdf8-59d7c2eee906,23,"8,24","-42,15",,"380,96","16,56","60,59","46,88","-24,56","0,89",,,,,,,,,,,,,,,,,,,"16,53","2,94","18,37","20,49","9,74","16,29","8,74","7,14","-0,11","-1,67","-8,97","-14,56","17,00","46,88","12,03","29,90","-24,56","37,37","4,21","0,00","0,00","0,08","-8,43"
Ed Khan CryptoGallery Utopia,https://fund.edkhan.net/ranking/1180 ,32,"6,33",,"-1,38","382,43","11,95","60,54","95,55","-13,89","0,90",,,,,,,,,,"-7,47","95,55","-0,37","35,74","8,87","-4,79","-1,92","6,12","-3,37","1,50","6,85","14,29","-1,28","9,74","5,16","-8,48","9,79","30,37","4,75","-12,03","2,85","-5,73","-3,97","0,82","11,75","2,72","2,68","-2,70","-13,89","9,46","10,35","-0,92"
Alfa-Quant Capital,https://www.comon.ru/strategies/109402/,28,"2,81","-15,53",,"109,62","3,91","22,24","20,01","-9,17","0,95",,,,,,,,,,,,,,"-3,68","5,12","2,15","-9,17","-0,83","-4,09","20,01","5,37","3,26","4,58","6,95","4,72","4,35","5,19","2,97","-2,94","7,19","5,09","0,33","7,90","-2,52","0,74","3,54","10,27","-1,31","1,13","-0,29","2,76"
Zohar_Z HARE KRISHNA,https://tradelink.pro/portfolio/91e904f2-2fde-4b87-92d6-74472c2670ed?t=1714118400,25,"3,03","-24,74",,"102,18","4,09","20,58","18,62","-5,16","1,19",,,,,,,,,,,,,,,,,"1,21","-2,46","7,26","0,02","2,16","2,87","-5,16","1,71","0,60","8,34","0,10","-3,17","6,48","18,62","7,57","-2,75","17,00","12,96","4,25","-0,12","-1,12","-3,85","3,09","0,82","-0,79"
